seed,variant,mse,imbalance,switching,adaptation,step_ms,controller_ms
11,instant,0.07859472185373306,0.4765625000000001,0.3383458646616541,,5.221899977186695,0.10839998139999807
11,ema,0.07897903770208359,0.4875000000000001,0.03759398496240601,,5.813000025227666,0.1323999895248562
22,instant,0.08075092732906342,0.2468750000000001,0.39097744360902253,19,5.551800015382469,0.12260000221431255
22,ema,0.0815623551607132,0.20130208333333338,0.08270676691729323,19,5.864600010681897,0.1221999991685152
33,instant,0.08336217701435089,0.30885416666666676,0.45864661654135336,32,7.122400013031438,0.15090001397766173
33,ema,0.08459893614053726,0.2231770833333334,0.05263157894736842,22,5.911099986406043,0.1357999863103032
